"pair_key","doc_id","sentence_id","start","end","text","relation_type","LSF_entity","LSF_entity_start","LSF_entity_end","disease_entity","disease_entity_start","disease_entity_end","Data_Set","section","word_count","context_text","masked_context_text","context_word_count"
"10069129 10 T12_T13","10069129",10,1099,1194,"Schoolboys from travelling families have less wheeze and doctor diagnosed asthma than controls. ","negative_statistical_association","travelling",1115,1124,"asthma",1173,1178,"train-set","",13,"The values were significant for wheeze in the last year (31.3% v 14.8%; OR-5.6, p = 0.025), and for doctor diagnosed asthma (25.6% v 11.1%; OR = 5.1, p = 0.04).  Schoolboys from travelling families have less wheeze and doctor diagnosed asthma than controls.  The experience of the travelling lifestyle maybe a protective factor in the development of asthma. ","The values were significant for wheeze in the last year (31.3% v 14.8%; OR-5.6, p = 0.025), and for doctor diagnosed asthma (25.6% v 11.1%; OR = 5.1, p = 0.04).  Schoolboys from[FACTOR]g families have less wheeze and doctor diagnosed[OUTCOME]a than controls.  The experience of the travelling lifestyle maybe a protective factor in the development of asthma.",57
"10069129 11 T14_T15","10069129",11,1195,1293,"The experience of the travelling lifestyle maybe a protective factor in the development of asthma. ","prevents","travelling",1217,1226,"asthma",1286,1291,"train-set","",15,"Schoolboys from travelling families have less wheeze and doctor diagnosed asthma than controls.  The experience of the travelling lifestyle maybe a protective factor in the development of asthma.  ","Schoolboys from travelling families have less wheeze and doctor diagnosed asthma than controls.  The experience of the[FACTOR]g lifestyle maybe a protective factor in the development of[OUTCOME]a.",28
"10069129 2 T2_T4","10069129",2,66,259,"This study compared the prevalence of asthma in travelling schoolboys and settled controls to determine whether the travelling lifestyle may be a protective factor in the development of asthma. ","no_relation","travelling",182,191,"asthma",104,109,"dev-set","",29," This study compared the prevalence of asthma in travelling schoolboys and settled controls to determine whether the travelling lifestyle may be a protective factor in the development of asthma.  Information was collected by parental responses to the ISAAC (International Study of Asthma and Allergies in Childhood) questionnaire. ","This study compared the prevalence of[OUTCOME]a in travelling schoolboys and settled controls to determine whether the[FACTOR]g lifestyle may be a protective factor in the development of asthma.  Information was collected by parental responses to the ISAAC (International Study of Asthma and Allergies in Childhood) questionnaire.",47
"10069129 2 T3_T5","10069129",2,66,259,"This study compared the prevalence of asthma in travelling schoolboys and settled controls to determine whether the travelling lifestyle may be a protective factor in the development of asthma. ","no_relation","travelling",114,123,"asthma",252,257,"train-set","",29," This study compared the prevalence of asthma in travelling schoolboys and settled controls to determine whether the travelling lifestyle may be a protective factor in the development of asthma.  Information was collected by parental responses to the ISAAC (International Study of Asthma and Allergies in Childhood) questionnaire. ","This study compared the prevalence of asthma in[FACTOR]g schoolboys and settled controls to determine whether the travelling lifestyle may be a protective factor in the development of[OUTCOME]a.  Information was collected by parental responses to the ISAAC (International Study of Asthma and Allergies in Childhood) questionnaire.",47
"10398936 2 T11_T3","10398936",2,102,273,"BACKGROUND: In several epidemiological studies, breast cancer risk has been reduced among women who reported high levels of occupational or leisure-time physical activity. ","negative_statistical_association","occupational",226,237,"breast cancer",150,162,"dev-set","BACKGROUND:",24," BACKGROUND: In several epidemiological studies, breast cancer risk has been reduced among women who reported high levels of occupational or leisure-time physical activity.  We used data from a population-based case control study to evaluate the effect of occupational physical activity on breast cancer risk. ","BACKGROUND: In several epidemiological studies,[OUTCOME]r risk has been reduced among women who reported high levels of[FACTOR]l or leisure-time physical activity.  We used data from a population-based case control study to evaluate the effect of occupational physical activity on breast cancer risk.",46
"10398936 2 T3_T5","10398936",2,102,273,"BACKGROUND: In several epidemiological studies, breast cancer risk has been reduced among women who reported high levels of occupational or leisure-time physical activity. ","negative_statistical_association","leisure-time physical activity",242,271,"breast cancer",150,162,"dev-set","BACKGROUND:",24," BACKGROUND: In several epidemiological studies, breast cancer risk has been reduced among women who reported high levels of occupational or leisure-time physical activity.  We used data from a population-based case control study to evaluate the effect of occupational physical activity on breast cancer risk. ","BACKGROUND: In several epidemiological studies,[OUTCOME]r risk has been reduced among women who reported high levels of occupational or[FACTOR]y.  We used data from a population-based case control study to evaluate the effect of occupational physical activity on breast cancer risk.",46
"10398936 8 T14_T17","10398936",8,976,1096,"CONCLUSIONS: In these data there was no evidence that holding a job of medium/heavy activity reduced breast cancer risk. ","no_statistical_association","job of medium/heavy activity",1040,1067,"breast cancer",1077,1089,"dev-set","CONCLUSIONS:",20,"RESULTS: Odds ratios for women who held medium/heavy jobs for less than 10 years and more than ten years were, respectively, 0.7 (95% CI = 0.4,1.3) and 1.7 (95% CI = 0.9,3.3).  CONCLUSIONS: In these data there was no evidence that holding a job of medium/heavy activity reduced breast cancer risk.  The study was limited by misclassification inherent in the occupational exposure scheme and by the lack of information on leisure time physical activity. ","RESULTS: Odds ratios for women who held medium/heavy jobs for less than 10 years and more than ten years were, respectively, 0.7 (95% CI = 0.4,1.3) and 1.7 (95% CI = 0.9,3.3).  CONCLUSIONS: In these data there was no evidence that holding a[FACTOR]y reduced[OUTCOME]r risk.  The study was limited by misclassification inherent in the occupational exposure scheme and by the lack of information on leisure time physical activity.",74
"10516985 14 T39_T62","10516985",14,1968,2056,"Nutritional supplements for cardiovascular disorders are generally geared to prevention. ","prevents","Nutritional supplements",1968,1990,"cardiovascular disorders",1996,2019,"dev-set","",10,"Although proper rehydration with fluids and electrolytes is necessary, a paucity of actual studies to maximize prophylactic treatment for exercise induced cramping still exists.  Nutritional supplements for cardiovascular disorders are generally geared to prevention.  The United States Department of Agriculture has good recommendations to prevent atherosclerosis; a stricter version by Ornish was shown to reverse coronary heart disease, and the low meat, high fruit, and vegetable DASH diet has been found to decrease hypertension. ","Although proper rehydration with fluids and electrolytes is necessary, a paucity of actual studies to maximize prophylactic treatment for exercise induced cramping still exists. [FACTOR]s for[OUTCOME]s are generally geared to prevention.  The United States Department of Agriculture has good recommendations to prevent atherosclerosis; a stricter version by Ornish was shown to reverse coronary heart disease, and the low meat, high fruit, and vegetable DASH diet has been found to decrease hypertension.",74
"10516985 15 T16_T17","10516985",15,2057,2322,"The United States Department of Agriculture has good recommendations to prevent atherosclerosis; a stricter version by Ornish was shown to reverse coronary heart disease, and the low meat, high fruit, and vegetable DASH diet has been found to decrease hypertension. ","controls","low meat, high fruit, and vegetable DASH diet",2236,2280,"hypertension",2309,2320,"dev-set","",40,"Nutritional supplements for cardiovascular disorders are generally geared to prevention.  The United States Department of Agriculture has good recommendations to prevent atherosclerosis; a stricter version by Ornish was shown to reverse coronary heart disease, and the low meat, high fruit, and vegetable DASH diet has been found to decrease hypertension.  The epidemiologic studies of hyperhomocysteinemia are impressive enough to give folic acid (or vitamin B6 or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed. ","Nutritional supplements for cardiovascular disorders are generally geared to prevention.  The United States Department of Agriculture has good recommendations to prevent atherosclerosis; a stricter version by Ornish was shown to reverse coronary heart disease, and the[FACTOR]t has been found to decrease[OUTCOME]n.  The epidemiologic studies of hyperhomocysteinemia are impressive enough to give folic acid (or vitamin B6 or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed.",92
"10516985 16 T18_T19","10516985",16,2323,2611,"The epidemiologic studies of hyperhomocysteinemia are impressive enough to give folic acid (or vitamin B6 or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed. ","treats","folic acid",2403,2412,"hyperhomocysteinemia",2352,2371,"dev-set","",42,"The United States Department of Agriculture has good recommendations to prevent atherosclerosis; a stricter version by Ornish was shown to reverse coronary heart disease, and the low meat, high fruit, and vegetable DASH diet has been found to decrease hypertension.  The epidemiologic studies of hyperhomocysteinemia are impressive enough to give folic acid (or vitamin B6 or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed.  Soluble fiber has several positive studies in reduction of cholesterol levels and generally is accepted. ","The United States Department of Agriculture has good recommendations to prevent atherosclerosis; a stricter version by Ornish was shown to reverse coronary heart disease, and the low meat, high fruit, and vegetable DASH diet has been found to decrease hypertension.  The epidemiologic studies of[OUTCOME]a are impressive enough to give[FACTOR]d (or vitamin B6 or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed.  Soluble fiber has several positive studies in reduction of cholesterol levels and generally is accepted.",97
