"pair_key","doc_id","sentence_id","start","end","text","relation_type","LSF_entity","LSF_entity_start","LSF_entity_end","disease_entity","disease_entity_start","disease_entity_end","Data_Set","section","word_count","context_text","masked_context_text","context_word_count"
"10069129 10 T12_T13","10069129",10,1099,1194,"Schoolboys from travelling families have less wheeze and doctor diagnosed asthma than controls. ","negative_statistical_association","travelling",1115,1124,"asthma",1173,1178,"train-set","",13,"Schoolboys from travelling families have less wheeze and doctor diagnosed asthma than controls. ","Schoolboys from [FACTOR] families have less wheeze and doctor diagnosed [OUTCOME] than controls.",13
"10069129 11 T14_T15","10069129",11,1195,1293,"The experience of the travelling lifestyle maybe a protective factor in the development of asthma. ","prevents","travelling",1217,1226,"asthma",1286,1291,"train-set","",15,"The experience of the travelling lifestyle maybe a protective factor in the development of asthma. ","The experience of the [FACTOR] lifestyle maybe a protective factor in the development of [OUTCOME].",15
"10069129 2 T2_T4","10069129",2,66,259,"This study compared the prevalence of asthma in travelling schoolboys and settled controls to determine whether the travelling lifestyle may be a protective factor in the development of asthma. ","no_relation","travelling",182,191,"asthma",104,109,"dev-set","",29,"This study compared the prevalence of asthma in travelling schoolboys and settled controls to determine whether the travelling lifestyle may be a protective factor in the development of asthma. ","This study compared the prevalence of [OUTCOME] in travelling schoolboys and settled controls to determine whether the [FACTOR] lifestyle may be a protective factor in the development of asthma.",29
"10069129 2 T3_T5","10069129",2,66,259,"This study compared the prevalence of asthma in travelling schoolboys and settled controls to determine whether the travelling lifestyle may be a protective factor in the development of asthma. ","no_relation","travelling",114,123,"asthma",252,257,"train-set","",29,"This study compared the prevalence of asthma in travelling schoolboys and settled controls to determine whether the travelling lifestyle may be a protective factor in the development of asthma. ","This study compared the prevalence of asthma in [FACTOR] schoolboys and settled controls to determine whether the travelling lifestyle may be a protective factor in the development of [OUTCOME].",29
"10398936 2 T11_T3","10398936",2,102,273,"BACKGROUND: In several epidemiological studies, breast cancer risk has been reduced among women who reported high levels of occupational or leisure-time physical activity. ","negative_statistical_association","occupational",226,237,"breast cancer",150,162,"dev-set","BACKGROUND:",24,"BACKGROUND: In several epidemiological studies, breast cancer risk has been reduced among women who reported high levels of occupational or leisure-time physical activity. ","BACKGROUND: In several epidemiological studies, [OUTCOME] risk has been reduced among women who reported high levels of [FACTOR] or leisure-time physical activity.",24
"10398936 2 T3_T5","10398936",2,102,273,"BACKGROUND: In several epidemiological studies, breast cancer risk has been reduced among women who reported high levels of occupational or leisure-time physical activity. ","negative_statistical_association","leisure-time physical activity",242,271,"breast cancer",150,162,"dev-set","BACKGROUND:",24,"BACKGROUND: In several epidemiological studies, breast cancer risk has been reduced among women who reported high levels of occupational or leisure-time physical activity. ","BACKGROUND: In several epidemiological studies, [OUTCOME] risk has been reduced among women who reported high levels of occupational or [FACTOR].",24
"10398936 8 T14_T17","10398936",8,976,1096,"CONCLUSIONS: In these data there was no evidence that holding a job of medium/heavy activity reduced breast cancer risk. ","no_statistical_association","job of medium/heavy activity",1040,1067,"breast cancer",1077,1089,"dev-set","CONCLUSIONS:",20,"CONCLUSIONS: In these data there was no evidence that holding a job of medium/heavy activity reduced breast cancer risk. ","CONCLUSIONS: In these data there was no evidence that holding a [FACTOR] reduced [OUTCOME] risk.",20
"10516985 14 T39_T62","10516985",14,1968,2056,"Nutritional supplements for cardiovascular disorders are generally geared to prevention. ","prevents","Nutritional supplements",1968,1990,"cardiovascular disorders",1996,2019,"dev-set","",10,"Nutritional supplements for cardiovascular disorders are generally geared to prevention. ","[FACTOR] for [OUTCOME] are generally geared to prevention.",10
"10516985 15 T16_T17","10516985",15,2057,2322,"The United States Department of Agriculture has good recommendations to prevent atherosclerosis; a stricter version by Ornish was shown to reverse coronary heart disease, and the low meat, high fruit, and vegetable DASH diet has been found to decrease hypertension. ","controls","low meat, high fruit, and vegetable DASH diet",2236,2280,"hypertension",2309,2320,"dev-set","",40,"The United States Department of Agriculture has good recommendations to prevent atherosclerosis; a stricter version by Ornish was shown to reverse coronary heart disease, and the low meat, high fruit, and vegetable DASH diet has been found to decrease hypertension. ","The United States Department of Agriculture has good recommendations to prevent atherosclerosis; a stricter version by Ornish was shown to reverse coronary heart disease, and the [FACTOR] has been found to decrease [OUTCOME].",40
"10516985 16 T18_T19","10516985",16,2323,2611,"The epidemiologic studies of hyperhomocysteinemia are impressive enough to give folic acid (or vitamin B6 or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed. ","treats","folic acid",2403,2412,"hyperhomocysteinemia",2352,2371,"dev-set","",42,"The epidemiologic studies of hyperhomocysteinemia are impressive enough to give folic acid (or vitamin B6 or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed. ","The epidemiologic studies of [OUTCOME] are impressive enough to give [FACTOR] (or vitamin B6 or B12) supplements to those with elevated homocysteine levels and test patients who have a history of atherosclerotic disease, but no controlled clinical trials have been completed.",42
